fecha,real,predicción
2025-08-14,301240.0,522474.2
2025-08-15,263031.0,611132.6
2025-08-16,145981.0,449284.12
2025-08-17,541857.0,714818.9
2025-08-18,461718.0,566658.06
2025-08-19,530073.0,513597.5
2025-08-20,599696.0,411263.8
2025-08-21,565808.0,618288.4
2025-08-22,284587.0,545362.06
2025-08-23,155203.0,490762.5
2025-08-24,548992.0,686663.06
2025-08-25,569689.0,659383.4
2025-08-26,569327.0,514691.62
2025-08-27,580669.0,508080.44
2025-08-28,557040.0,526317.6
2025-08-29,263415.0,494732.66
2025-08-30,91394.0,290382.28
2025-08-31,722820.0,431084.22
2025-09-01,814191.0,523410.12
2025-09-02,833737.0,637742.9
2025-09-03,847249.0,492389.88
2025-09-04,792041.0,617905.94
2025-09-05,375094.0,588884.8
2025-09-06,181392.0,203686.1
2025-09-07,880059.0,709663.3
2025-09-08,825102.0,721883.44
2025-09-09,830974.0,882392.44
2025-09-10,800691.0,770345.6
2025-09-11,753951.0,838763.56
2025-09-12,367781.0,761742.94
2025-09-13,198463.0,187232.75
2025-09-14,777748.0,234613.64
2025-09-15,813304.0,808734.0
2025-09-16,860357.0,891628.2
2025-09-17,814107.0,782233.44
2025-09-18,727008.0,901166.75
2025-09-19,314523.0,782285.75
2025-09-20,205542.0,176128.2
2025-09-21,777897.0,580533.3
2025-09-22,804205.0,679598.0
2025-09-23,768971.0,873617.3
2025-09-24,805370.0,918788.1
2025-09-25,755274.0,751000.06
2025-09-26,313843.0,470435.75
2025-09-27,211686.0,122663.586
2025-09-28,736193.0,575032.7
2025-09-29,803507.0,775637.7
2025-09-30,806624.0,808957.5
2025-10-01,776537.0,646229.8
2025-10-02,786421.0,678380.25
2025-10-03,373105.0,614047.06
2025-10-04,168691.0,326915.16
2025-10-05,768341.0,697299.4
2025-10-06,750128.0,721254.2
2025-10-07,856022.0,871390.8
2025-10-08,833270.0,663636.06
2025-10-09,292454.0,609325.0
2025-10-10,342974.0,631322.75
2025-10-11,177282.0,318147.84
2025-10-12,755919.0,696785.3
2025-10-13,786367.0,836831.9
2025-10-14,795645.0,734114.06
2025-10-15,800569.0,727344.56
2025-10-16,770294.0,705714.44
2025-10-17,375735.0,613097.9
2025-10-18,185396.0,188489.06
2025-10-19,736495.0,659257.7
2025-10-20,753899.0,811372.7
2025-10-21,780818.0,739052.44
2025-10-22,805452.0,693940.3
2025-10-23,667198.0,686419.6
2025-10-24,276236.0,619083.8
2025-10-25,193026.0,211884.9
2025-10-26,727323.0,716231.5
2025-10-27,785023.0,687423.44
2025-10-28,774228.0,719747.7
2025-10-29,774460.0,577622.3
2025-10-30,756810.0,603891.44
2025-10-31,448460.0,508102.56
2025-11-01,187821.0,208675.6
2025-11-02,747737.0,673467.06
2025-11-03,753917.0,503011.53
2025-11-04,795564.0,872912.6
2025-11-05,778004.0,613166.9
2025-11-06,752269.0,679565.3
2025-11-07,536957.0,685158.4
2025-11-08,190242.0,153348.27
2025-11-09,743163.0,534902.5
2025-11-10,782916.0,768675.0
2025-11-11,778491.0,719452.06
2025-11-12,790537.0,640941.1
2025-11-13,733535.0,630863.75
2025-11-14,373463.0,601256.9
2025-11-15,181668.0,176687.05
2025-11-16,740895.0,700894.5
2025-11-17,773124.0,742155.2
2025-11-18,782917.0,845330.2
2025-11-19,764807.0,580876.1
2025-11-20,369986.0,635346.5
2025-11-21,351478.0,331933.9
2025-11-22,205255.0,350547.66
2025-11-23,214872.0,664040.7
2025-11-24,742178.0,667658.9
2025-11-25,745160.0,863260.6
2025-11-26,748078.0,653538.06
2025-11-27,713729.0,526599.1
2025-11-28,297167.0,482167.5
2025-11-29,158182.0,126197.61
2025-11-30,692044.0,596072.4
2025-12-01,745412.0,786668.75
2025-12-02,738687.0,721727.4
2025-12-03,743857.0,502380.84
2025-12-04,714263.0,621914.06
2025-12-05,363204.0,477207.94
2025-12-06,204639.0,209309.73
2025-12-07,467258.0,667347.8
2025-12-08,734205.0,583691.25
2025-12-09,764667.0,683769.2
2025-12-10,763188.0,502176.97
2025-12-11,720754.0,456700.38
2025-12-12,362007.0,489927.06
2025-12-13,186386.0,236826.38
2025-12-14,719452.0,744341.2
2025-12-15,747126.0,544556.8
2025-12-16,770147.0,771114.8
2025-12-17,781717.0,652944.0
2025-12-18,740772.0,581548.25
2025-12-19,369626.0,516533.06
2025-12-20,210588.0,159927.42
2025-12-21,721163.0,545129.1
2025-12-22,692692.0,514353.44
2025-12-23,229127.0,367850.28
2025-12-24,78816.0,729520.75
2025-12-25,497088.0,710288.06
2025-12-26,259457.0,459510.12
2025-12-27,145236.0,285523.7
2025-12-28,555125.0,413792.66
2025-12-29,523682.0,353754.5
2025-12-30,175978.0,151757.14
